Name,Count_Ctrl,Count_PE,Mean_Ctrl,Mean_PE,P_value_T_PD_vs_Ctrl,Fold_change_PD_vs_Ctrl,Flag_PD_vs_Ctrl
TG(15:0/16:0/18:1);TG(16:0/16:0/17:1);TG(16:0/16:1/17:0),93,48,20.489,20.535,0.851,0.039,0
TG(15:0/16:0/18:2),93,48,20.062,19.971,0.374,-0.089,0
TG(15:0/16:0/18:3);TG(15:0/16:1/18:2),93,48,18.249,18.072,0.071,-0.176,0
TG(15:0/18:1/18:1);TG(16:0/17:1/18:1);TG(16:0/17:0/18:2),93,48,21.507,21.617,0.18,0.1,0
TG(15:0/18:2/18:2),93,48,19.846,19.65,0.031,-0.189,-1
TG(16:0/16:0/16:0),93,48,18.257,18.631,0.18,0.401,0
TG(16:0/16:0/18:0),93,48,18.052,18.433,0.275,0.426,0
TG(16:0/16:0/18:1),93,48,23.426,23.665,0.008,0.231,1
TG(16:0/16:0/18:2);TG(16:0/16:1/18:1),93,48,23.813,23.943,0.132,0.119,0
TG(16:0/16:1/18:2);TG(14:0/18:1/18:2);TG(16:0/16:0/18:3);TG(16:1/16:1/18:1),93,48,23.867,23.877,0.989,0.007,0
TG(16:0/17:1/18:2);TG(15:0/18:1/18:2);TG(15:0/16:0/20:3);TG(16:1/17:1/18:1),93,48,21.537,21.519,0.919,-0.019,0
TG(16:0/18:0/18:1),93,48,22.852,23.036,0.016,0.179,1
TG(16:0/18:1/18:1),93,48,24.642,24.899,0.000316833,0.247,1
TG(16:0/18:1/20:1);TG(18:0/18:1/18:1),93,48,22.637,22.792,0.024,0.155,1
TG(16:0/18:1/22:0),93,48,15.92,15.873,0.999,-0.006,0
TG(16:0/18:1/22:6);TG(18:1/18:2/20:4),93,48,21.497,21.558,0.559,0.071,0
TG(16:0/18:1/24:0),93,48,14.632,14.533,0.946,-0.053,0
TG(16:0/18:2/18:2);TG(16:1/18:1/18:2),93,48,24.784,24.92,0.045,0.129,1
TG(16:0/18:2/18:3);TG(16:1/18:2/18:2);TG(16:1/18:2/18:2),93,48,22.807,22.752,0.601,-0.051,0
TG(16:0/20:1/20:1);TG(18:0/18:1/20:1);TG(16:0/18:1/22:1);TG(18:1/18:1/20:0),93,48,18.236,18.199,0.989,-0.015,0
TG(16:0/20:3/22:4);TG(18:1/18:2/22:4);TG(18:2/18:2/22:3),93,48,19.471,19.53,0.598,0.067,0
TG(16:1/16:1/18:2);TG(14:0/18:1/18:3);TG(14:0/18:2/18:2);TG(16:0/16:1/18:3),93,48,22.094,21.924,0.055,-0.157,0
TG(16:1/18:1/18:1);TG(16:0/18:1/18:2),93,48,24.978,25.237,0.000418392,0.247,1
TG(16:1/18:2/18:3);TG(14:0/18:2/20:4),93,48,19.588,19.305,0.009,-0.267,-1
TG(16:1/18:2/20:4);TG(18:2/18:2/18:3);TG(18:2/18:2/18:3),93,48,20.52,20.197,0.165,-0.285,0
TG(17:0/18:0/18:1),93,48,17.346,17.416,0.754,0.074,0
TG(17:0/18:1/18:1);TG(16:0/18:1/19:1),93,48,20.661,20.721,0.678,0.055,0
TG(17:0/18:2/18:2);TG(17:1/18:1/18:2),93,48,20.296,20.248,0.723,-0.046,0
TG(17:1/18:1/18:1);TG(16:0/18:2/19:1);TG(17:0/18:1/18:2);TG(16:0/17:0/20:3),93,48,21.159,21.202,0.695,0.043,0
TG(17:1/18:2/18:2),93,48,18.567,18.412,0.152,-0.144,0
TG(18:0/18:0/18:1);TG(16:0/18:1/20:0),93,48,19.468,19.567,0.555,0.12,0
TG(18:0/18:2/20:4);TG(16:0/18:2/22:4),93,48,21.601,21.684,0.243,0.09,0
TG(18:1/18:1/18:1);TG(18:0/18:1/18:2);TG(16:0/18:1/20:2),93,48,22.934,23.082,0.037,0.152,1
TG(18:1/18:1/18:2);TG(16:0/18:0/20:4),93,48,23.054,23.156,0.177,0.107,0
TG(18:1/18:1/20:1);TG(18:0/18:2/20:1),93,48,19.594,19.592,0.998,0.004,0
TG(18:1/18:1/20:2);TG(18:1/18:2/20:1),93,48,19.443,19.466,0.901,0.026,0
TG(18:1/18:1/20:3);TG(16:0/18:1/22:4);TG(18:0/18:1/20:4),93,48,20.88,20.993,0.159,0.119,0
TG(18:1/18:1/22:0);TG(16:0/18:2/24:0),93,48,15.747,15.664,0.969,-0.041,0
TG(18:1/18:2/18:2),93,48,23.065,23.128,0.524,0.075,0
TG(18:1/18:2/22:0),93,48,16.389,16.305,0.957,-0.042,0
TG(18:1/18:2/22:5);TG(18:1/18:1/22:6),93,48,18.981,19.247,0.019,0.258,1
TG(18:2/18:2/20:4);TG(16:0/18:2/22:6),93,48,20.961,21.232,0.025,0.273,1
TG(18:2/18:2/22:5);TG(18:1/18:2/22:6);TG(18:1/20:4/20:4),93,48,19.471,19.705,0.053,0.239,0
TG(18:2/18:2/22:6);TG(18:2/20:4/20:4),93,48,18.532,18.505,0.991,-0.015,0
TG(18:2/18:3/18:3),93,48,16.66,16.174,0.178,-0.429,0
TG(18:2/18:3/20:4);TG(16:0/18:3/22:6);TG(18:2/18:2/20:5),93,48,17.752,17.811,0.737,0.079,0
TG(8:0/16:1/18:1);TG(12:0/12:0/18:2);TG(12:0/14:1/16:1),92,48,15.371,14.984,0.544,-0.324,0
