Name,HG
TG(18:0_18:0_18:1);TG(16:0_18:1_20:0),TG
TG(18:0_18:2_20:4);TG(16:0_18:2_22:4),TG
TG(18:1_18:1_18:1);TG(18:0_18:1_18:2);TG(16:0_18:1_20:2),TG
TG(18:1_18:1_18:2);TG(16:0_18:0_20:4),TG
TG(18:1_18:1_20:1);TG(18:0_18:2_20:1),TG
TG(18:1_18:1_20:2);TG(18:1_18:2_20:1),TG
TG(18:1_18:1_20:3);TG(16:0_18:1_22:4);TG(18:0_18:1_20:4),TG
TG(18:1_18:1_22:0);TG(16:0_18:2_24:0),TG
TG(18:1_18:2_18:2),TG
TG(18:1_18:2_22:0),TG
TG(18:1_18:2_22:5);TG(18:1_18:1_22:6),TG
TG(18:2_18:2_20:4);TG(16:0_18:2_22:6),TG
TG(18:2_18:2_22:5);TG(18:1_18:2_22:6);TG(18:1_20:4_20:4),TG
TG(18:2_18:2_22:6);TG(18:2_20:4_20:4),TG
TG(18:2_18:3_18:3),TG
TG(18:2_18:3_20:4);TG(16:0_18:3_22:6);TG(18:2_18:2_20:5),TG
TG(8:0_16:1_18:1);TG(12:0_12:0_18:2);TG(12:0_14:1_16:1),TG
TG(8:0_16:1_18:1);TG(12:0_12:0_18:2);TG(12:0_14:1_16:1),TG
